"ID","volume","species","origin","leaf_type","nursery","climate_region","calliper300","rcd","height_m","sizeindex","logSI","logvol","logH","logD","logRCD","slenderness","longitude","latitude","MAT","MAP","treenumb","crown_length","branchper30","crown_spread","crown_ratio"
"alpine_2061",45,"magnolia_grandiflora_exmouth","non-native","evergreen","alpine","New South Wales",26.8797368421053,35.1555263157895,1.79189473684211,48.4507002631579,1.67477060875897,1.65321251377534,0.251915822942201,1.42285478581677,1.53839644901736,0.0682944234803399,-33.659596,151.026671,16.6916666666667,1175,5.5,107.4,3.8,140,0.00542762490785197
"alpine_2141",400,"magnolia_grandiflora_exmouth","non-native","evergreen","alpine","New South Wales",78.2283333333333,99.135,3.84133333333333,300.77891,2.4770615759166,2.60205999132796,0.583754959945367,1.89330661597123,1.99591797168138,0.0490713417076695,-33.659596,151.026671,16.6916666666667,1175,2,298.466666666667,6,227.333333333333,0.0136641827138636
"alpine_26162",75,"waterhousea_floribunda","native","evergreen","alpine","New South Wales",33.7792857142857,50.2642857142857,2.03328571428571,68.3669692857143,1.83164636111112,1.8750612633917,0.306199690018588,1.52544667109253,1.7006327822137,0.0614877329720547,-33.659596,151.026671,16.6916666666667,1175,4,189.042857142857,5.42857142857143,124.285714285714,0.00420120697575058
"alpine_26543",25,"eucalyptus_sideroxylon","native","evergreen","alpine","New South Wales",25.264,35.255,2.102,53.9317033333333,1.70792074405141,1.39794000867204,0.317896762454491,1.39002398159691,1.53414666052828,0.0865582218029812,-33.659596,151.026671,16.6916666666667,1175,5.5,198.5,13.8,138,0.00512645089212782
"alpine_26612",25,"jacaranda_mimosifolia","non-native","deciduous","alpine","New South Wales",22.1127777777778,29.9461111111111,1.86966666666667,41.6564061111111,1.60813844850955,1.39794000867204,0.268821169584696,1.33931727892485,1.47266633732357,0.0858875995586308,-33.659596,151.026671,16.6916666666667,1175,3,103.6,3,96,0.00290827703918319
"alpine_26627",25,"callistemon_kingsparkspecial","native","evergreen","alpine","New South Wales",20.2016666666667,27.0297777777778,1.82222222222222,36.9891583333333,1.55899835941704,1.39794000867204,0.257787695350383,1.30121066406666,1.43026677809182,0.0914986765537589,-33.659596,151.026671,16.6916666666667,1175,5.5,159,9.4,123.6,0.00432974299517745
"alpine_26658",800,"ulmus_parvifolia","non-native","deciduous","alpine","New South Wales",74.142,99.322,3.8336,284.545374,2.45198692215524,2.90308998699194,0.582917814008874,1.86906910814637,1.99370754383912,0.0518903600904014,-33.659596,151.026671,16.6916666666667,1175,3,262.56,4.2,332,0.0293424753845287
"alpine_26706",200,"waterhousea_floribunda","native","evergreen","alpine","New South Wales",54.0183333333333,63.1716666666667,3.31383333333333,181.51049,2.24315826783007,2.30102999566398,0.518718339104084,1.72443992872599,1.79563250480356,0.0627300917997182,-33.659596,151.026671,16.6916666666667,1175,3.5,307.183333333333,6.83333333333333,147.333333333333,0.00603290509244359
"alpine_26750",300,"eucalyptus_saligna","native","evergreen","alpine","New South Wales",76.765,92.343125,4.925875,379.194788125,2.57555611269827,2.47712125471966,0.691373112845371,1.8841829998529,1.96447992695358,0.0642907428551086,-33.659596,151.026671,16.6916666666667,1175,4.5,392.1125,4.5,273,0.0200307947592885
"alpine_26779",100,"araucaria_heterophylla","native","evergreen","alpine","New South Wales",45.8205,54.08125,3.44295,157.8601065,2.19481977513437,2,0.536104673411374,1.65871510172299,1.7323589952364,0.0759735094204726,-33.659596,151.026671,16.6916666666667,1175,5.5,277.04,11.4,191.4,0.00979077350491258
