nursery_site,species,date,batch_id,volume,calliper300,rcd,height_m,sizeindex,logSI,logvol,logH,logD,logRCD,climate_region,genus_species,variety,origin,leaf_type,slenderness,MAT,MAP
A,callistemon_kingsparkspecial,11/4/2016,ck_27,27,16.8,20.215,1.63,27.384,1.437496886,1.431363764,0.212187604,1.225309282,1.305673746,South Australia,callistemon_kingsparkspecial,NA,native,evergreen,0.09702381,15.39166667,698
A,ginkgo_biloba,11/4/2016,GB_27,27,20.85,31.22,1.925,40.13625,1.603536793,1.431363764,0.284430734,1.319106059,1.494432899,South Australia,ginkgo_biloba,NA,non-native,deciduous,0.092326139,15.39166667,698
A,ginkgo_biloba,11/4/2016,GB_27,27,24.845,30.565,1.995,49.565775,1.695181901,1.431363764,0.2999429,1.395239001,1.4852244,South Australia,ginkgo_biloba,NA,non-native,deciduous,0.080297847,15.39166667,698
A,angophora_costata,11/4/2016,AC_27,27,20.265,24.12,1.584,32.09976,1.506501785,1.431363764,0.199755177,1.306746608,1.382377303,South Australia,angophora_costata,NA,native,evergreen,0.078164323,15.39166667,698
A,corymbia_maculata,11/4/2016,CM_27,27,16.99,21.235,2.034,34.55766,1.538544327,1.431363764,0.308350949,1.230193379,1.327052265,South Australia,corymbia_maculata,NA,native,evergreen,0.119717481,15.39166667,698
A,eucalyptus_leucoxylon_megalocarpa,11/4/2016,ELM_18,18,15.93,20.82,1.582,25.20126,1.401422255,1.255272505,0.199206479,1.202215776,1.318480725,South Australia,eucalyptus_leucoxylon,megalocarpa,native,evergreen,0.099309479,15.39166667,698
A,corymbia_maculata,11/4/2016,CM_27,27,22.295,25.295,1.758,39.19461,1.593226347,1.431363764,0.245018871,1.348207477,1.403034684,South Australia,corymbia_maculata,NA,native,evergreen,0.07885176,15.39166667,698
A,ginkgo_biloba,11/4/2016,GB_27,27,23.295,31.195,2.05,47.75475,1.679016576,1.431363764,0.311753861,1.367262715,1.49408499,South Australia,ginkgo_biloba,NA,non-native,deciduous,0.088001717,15.39166667,698
A,callistemon_kingsparkspecial,11/4/2016,ck_18,18,9.835,22.695,1.25,12.29375,1.089684377,1.255272505,0.096910013,0.992774364,1.355930187,South Australia,callistemon_kingsparkspecial,NA,native,evergreen,0.127097102,15.39166667,698
A,eucalyptus_leucoxylon_megalocarpa,11/4/2016,ELM_18,18,13.755,17.115,1.537,21.141435,1.325134462,1.255272505,0.186673867,1.138460595,1.233376903,South Australia,eucalyptus_leucoxylon,megalocarpa,native,evergreen,0.111741185,15.39166667,698
A,magnolia_grandiflora,11/4/2016,MGL_18,18,15.49,18.665,1.21,18.7429,1.272836788,1.255272505,0.08278537,1.190051418,1.271027994,South Australia,magnolia_grandiflora,NA,non-native,evergreen,0.078114913,15.39166667,698
A,callistemon_kingsparkspecial,11/4/2016,ck_18,18,10.95,19.83,1.43,15.6585,1.194750157,1.255272505,0.155336037,1.039414119,1.297322714,South Australia,callistemon_kingsparkspecial,NA,native,evergreen,0.130593607,15.39166667,698
A,eucalyptus_leucoxylon_megalocarpa,11/4/2016,ELM_18,18,14.01,17.34,1.659,23.24259,1.366284521,1.255272505,0.219846386,1.146438135,1.239049093,South Australia,eucalyptus_leucoxylon,megalocarpa,native,evergreen,0.118415418,15.39166667,698
A,angophora_costata,11/4/2016,AC_27,27,17.02,24.61,1.499,25.51298,1.406761189,1.431363764,0.175801633,1.230959556,1.391111614,South Australia,angophora_costata,NA,native,evergreen,0.088072855,15.39166667,698
