nursery_site,species,genus_species,volume,climate_region,origin,leaf_type,calliper300.mean,rcd.mean,height_m.mean,sizeindex.mean,calliper300.se,rcd.se,height_m.se,sizeindex.se,MAT,MAP
C,tristaniopsis_laurina_luscious,tristaniopsis_laurina,75,New South Wales,native,evergreen,33.602,49.9995,2.33315,78.4731435,0.881848418,0.78056566,0.033003929,2.48317255,16.69166667,1175
C,eucalyptus_sideroxylon_rosea,eucalyptus_sideroxylon,25,New South Wales,native,evergreen,9.077894737,16.63631579,1.068157895,9.740469737,0.221983455,0.682738278,0.023851424,0.385896286,16.69166667,1175
C,corymbia_maculata,corymbia_maculata,45,New South Wales,native,evergreen,17.12272727,26.69409091,1.845,32.00469636,0.971434123,0.638516682,0.083750821,2.985803894,16.69166667,1175
C,brachychiton_acerifolius,brachychiton_acerifolius,100,New South Wales,native,deciduous,61.04470588,71.83147059,4.020176471,245.6295818,1.761688928,1.674617097,0.049283636,8.067219633,16.69166667,1175
C,eucalyptus_pilularis,eucalyptus_pilularis,25,New South Wales,native,evergreen,10.72488889,19.56133333,1.168888889,12.752155,0.213378516,0.288783385,0.032962287,0.574827399,16.69166667,1175
C,corymbia_maculata,corymbia_maculata,200,New South Wales,native,evergreen,71.90166667,94.00166667,4.8325,346.2454667,1.926724192,2.707939459,0.321244637,22.19950777,16.69166667,1175
C,lophostemon_confertus,lophostemon_confertus,800,New South Wales,native,evergreen,99.21833333,123.857,5.563133333,552.8276653,2.207798767,2.611222976,0.085190088,17.01968067,16.69166667,1175
C,eucalyptus_saligna,eucalyptus_saligna,800,New South Wales,native,evergreen,102.86875,122.70375,5.826375,598.7670194,2.451137263,3.329220435,0.143978537,18.1200602,16.69166667,1175
C,angophora_costata,angophora_costata,600,New South Wales,native,evergreen,96.482,118.434,4.844,466.83176,2.642825004,1.596693772,0.107236654,12.09684636,16.69166667,1175
C,brachychiton_acerifolius,brachychiton_acerifolius,45,New South Wales,native,deciduous,43.69794118,57.13852941,2.138,95.22634206,1.858573242,2.327878861,0.091063488,7.23076215,16.69166667,1175
C,araucaria_heterophylla,araucaria_heterophylla,100,New South Wales,native,evergreen,45.8205,54.08125,3.44295,157.8601065,1.042879043,0.689487403,0.04837292,4.53137857,16.69166667,1175
C,eucalyptus_sideroxylon,eucalyptus_sideroxylon,25,New South Wales,native,evergreen,25.264,35.255,2.102,53.93170333,1.762953906,2.399982688,0.079523581,5.031383247,16.69166667,1175
C,waterhousea_floribunda,waterhousea_floribunda,200,New South Wales,native,evergreen,54.01833333,63.17166667,3.313833333,181.51049,4.684163331,4.291554432,0.126333795,21.40559853,16.69166667,1175
C,eucalyptus_saligna,eucalyptus_saligna,1000,New South Wales,native,evergreen,99.93194444,118.0475,5.565944444,556.84898,1.590362577,1.670668492,0.090804807,14.21220242,16.69166667,1175
C,eucalyptus_pilularis,eucalyptus_pilularis,100,New South Wales,native,evergreen,54.34026316,75.78894737,4.714894737,256.8441224,0.907285769,1.348524458,0.066553979,7.038420709,16.69166667,1175
C,araucaria_heterophylla,araucaria_heterophylla,45,New South Wales,native,evergreen,37.93176471,41.56764706,2.561647059,97.28744029,0.534461649,0.634384706,0.04969295,2.636109581,16.69166667,1175
C,corymbia_maculata,corymbia_maculata,25,New South Wales,native,evergreen,10.61753333,16.97613333,1.173666667,12.99225667,0.511573358,0.236543343,0.030545393,0.938711268,16.69166667,1175
C,ulmus_parvifolia,ulmus_parvifolia,800,New South Wales,non-native,deciduous,74.142,99.322,3.8336,284.545374,2.518802096,6.122547591,0.105949328,14.40468733,16.69166667,1175
C,waterhousea_floribunda,waterhousea_floribunda,75,New South Wales,native,evergreen,33.77928571,50.26428571,2.033285714,68.36696929,1.572685915,1.10191037,0.080771787,3.364904914,16.69166667,1175
C,olea_europaea,olea_europaea,65,New South Wales,non-native,evergreen,27.68947368,34.67447368,2.545736842,70.64317342,0.576868423,0.896616764,0.047460161,2.251885727,16.69166667,1175
C,corymbia_maculata,corymbia_maculata,400,New South Wales,native,evergreen,91.15444444,110.1022222,4.877444444,445.8320356,3.027211593,3.578666157,0.103830807,21.33702904,16.69166667,1175
C,brachychiton_acerifolius,brachychiton_acerifolius,75,New South Wales,native,deciduous,48.91647059,62.36794118,2.363411765,115.8959879,0.808690136,1.387320806,0.054949513,3.802446729,16.69166667,1175
C,ulmus_parvifolia,ulmus_parvifolia,200,New South Wales,non-native,deciduous,57.14266667,74.35766667,3.5334,202.917909,1.525705603,2.082279307,0.079040002,9.036913917,16.69166667,1175
C,banksia_integrifolia,banksia_integrifolia,45,New South Wales,native,evergreen,34.565,53.435,2.280666667,80.87492583,1.903664449,2.24554188,0.299401032,14.38858788,16.69166667,1175
C,lophostemon_confertus,lophostemon_confertus,300,New South Wales,native,evergreen,78.679375,99.45,4.47775,352.7498463,2.102614325,6.1661698,0.101103333,14.02148918,16.69166667,1175
C,magnolia_grandiflora_exmouth,magnolia_grandiflora,45,New South Wales,non-native,evergreen,26.87973684,35.15552632,1.791894737,48.45070026,1.121478013,1.608856196,0.034613395,2.601702984,16.69166667,1175
D,lagerstroemia_indica_natchez,lagerstroemia_indica,400,New South Wales,non-native,deciduous,49.66175,59.56825,3.5522,176.586506,0.423401215,0.633053302,0.04608097,3.246107236,16.83333333,846
D,eucalyptus_sideroxylon,eucalyptus_sideroxylon,100,New South Wales,native,evergreen,27.7715,38.641,2.4341,68.09389,0.974039007,1.668348561,0.050157326,3.294385409,16.83333333,846
D,lophostemon_confertus,lophostemon_confertus,45,New South Wales,native,evergreen,27.96133333,38.79566667,2.942933333,82.79156078,0.575807259,0.801302091,0.056677454,2.597278839,16.83333333,846
D,tristaniopsis_laurina_luscious,tristaniopsis_laurina,75,New South Wales,native,evergreen,36.444,48.50425,2.67695,97.460261,1.047495107,1.627893589,0.06177772,3.366082864,16.83333333,846
D,banksia_integrifolia,banksia_integrifolia,100,New South Wales,native,evergreen,33.28175,46.1395,2.7437,91.9584375,1.230260952,1.564708057,0.059355623,4.640777148,16.83333333,846
D,ulmus_parvifolia_todd,ulmus_parvifolia,400,New South Wales,non-native,deciduous,69.91113636,88.05045455,4.367,305.5466948,1.076489401,1.142316602,0.078106349,8.037478892,16.83333333,846
D,lagerstroemia_indica_sioux,lagerstroemia_indica,200,New South Wales,non-native,deciduous,56.512,63.929,3.9444,223.283994,0.882466147,0.927303079,0.253219786,16.04200994,16.83333333,846
D,corymbia_maculata,corymbia_maculata,200,New South Wales,native,evergreen,42.65125,56.04325,4.00465,170.6947628,0.907365974,1.362039989,0.068146138,4.4834704,16.83333333,846
D,corymbia_maculata,corymbia_maculata,100,New South Wales,native,evergreen,36.16125,46.39571429,4.058035714,148.8974932,1.488090566,2.382379467,0.102195974,8.701031433,16.83333333,846
D,magnolia_grandiflora_littlegem,magnolia_grandiflora,75,New South Wales,non-native,evergreen,29.22666667,40.72166667,1.841444444,54.27175111,1.660180295,1.975707328,0.06030734,4.352347967,16.83333333,846
D,banksia_integrifolia,banksia_integrifolia,75,New South Wales,native,evergreen,35.3065,47.4655,3.3806,120.391629,0.913446056,1.153721205,0.133508927,6.372897733,16.83333333,846
D,angophora_costata,angophora_costata,200,New South Wales,native,evergreen,56.9995,70.46425,4.228,244.1525493,1.98677522,1.734797473,0.117529504,13.85293327,16.83333333,846
D,eucalyptus_sideroxylon,eucalyptus_sideroxylon,45,New South Wales,native,evergreen,20.66888889,30.12022222,1.985466667,41.29983867,0.697288288,0.814109633,0.035951983,1.700083232,16.83333333,846
D,corymbia_maculata,corymbia_maculata,75,New South Wales,native,evergreen,31.92875,41.04125,3.57285,114.1158543,0.684790774,0.994325868,0.096998163,3.984000475,16.83333333,846
D,jacaranda_mimosifolia,jacaranda_mimosifolia,400,New South Wales,non-native,deciduous,88.34,99.54,4.8025,424.6542375,0.985,2.085,0.4075,40.7290125,16.83333333,846
D,banksia_integrifolia,banksia_integrifolia,5,New South Wales,native,evergreen,8.9885,16.475,0.72835,6.656976,0.300523469,0.653923483,0.042680901,0.509265226,16.83333333,846
D,lagerstroemia_indica_natchez,lagerstroemia_indica,200,New South Wales,non-native,deciduous,36.02125,41.723,2.9724,107.0313405,0.48735563,0.585565336,0.100594376,3.855252592,16.83333333,846
D,lagerstroemia_indica_sioux,lagerstroemia_indica,75,New South Wales,non-native,deciduous,23.4755,27.14775,2.42885,57.1446815,0.320580456,0.366092538,0.028931705,1.35145867,16.83333333,846
D,pyrus_calleryana_chanticleer,pyrus_calleryana,200,New South Wales,non-native,deciduous,62.34,88.78825,3.7972,237.0917478,1.031669763,2.043965646,0.064166994,6.392980733,16.83333333,846
D,angophora_costata,angophora_costata,14,New South Wales,native,evergreen,10.18431818,15.34465909,1.125340909,11.69579114,0.335820506,0.387237171,0.025790872,0.550411063,16.83333333,846
D,ulmus_parvifolia_todd,ulmus_parvifolia,200,New South Wales,non-native,deciduous,58.44075,77.26475,3.95545,231.6062565,0.92939194,1.424101031,0.053159812,5.928469352,16.83333333,846
D,magnolia_grandiflora_littlegem,magnolia_grandiflora,14,New South Wales,non-native,evergreen,17.2265,24.316,1.45285,25.0972315,0.372527657,0.6362782,0.027188453,0.811472405,16.83333333,846
D,angophora_costata,angophora_costata,100,New South Wales,native,evergreen,35.290375,43.05675,3.547625,130.4964453,1.300167104,1.58980436,0.121018555,8.738976442,16.83333333,846
D,angophora_costata,angophora_costata,45,New South Wales,native,evergreen,25.3455,36.55761111,2.304877778,60.34156572,0.631880761,0.845847857,0.053471153,2.64520527,16.83333333,846
D,platanus_acerifolia,platanus_acerifolia,400,New South Wales,non-native,deciduous,55.45125,65.74675,4.2153,234.1408628,0.839110108,0.775034063,0.081516388,6.499656654,16.83333333,846
D,magnolia_grandiflora_littlegem,magnolia_grandiflora,100,New South Wales,non-native,evergreen,44.62428571,58.78785714,2.514142857,112.4601982,1.850576006,1.353962105,0.052762984,5.357888693,16.83333333,846
D,corymbia_maculata,corymbia_maculata,14,New South Wales,native,evergreen,11.67522222,16.09244444,1.373777778,16.14329156,0.390311096,0.546864516,0.022117544,0.639418745,16.83333333,846
D,banksia_integrifolia,banksia_integrifolia,45,New South Wales,native,evergreen,20.715,32.03844444,2.048111111,42.577707,0.381862098,0.616401414,0.053213827,1.416944777,16.83333333,846
